Hospital Name,Link,State,Address,"""Always"" quiet at night","""Usually"" quiet at night","Room was ""always"" clean","Room was ""usually"" clean","Patients ""always"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted","Doctors ""always"" communicated well","Doctors ""usually"" communicated well","Nurses ""always"" communicated well","Nurses ""usually"" communicated well","Staff ""always"" explained","Staff ""usually"" explained",Summary,Review Counts,Experience,Billing,Quality of Care,Other,Timeliness,Average Rating
Anna Jaques Hospital,https://www.yelp.com/biz/anna-jaques-hospital-newburyport,MA,25 Highland Avenue,56,32,73,19,73,20,81,14,83,14,65,18,"I got the exact birth I wanted, the people were great, the food was pretty good; if you are the mom they take your food choices for the next lunch and dinner, and the breakfast buffet has a good selection.SPLITOn a side note, the Brigham is another wonderful hospital and what I loved most about it was the patient room (own shower, flat screen TV, and a couch and TV for visitors).SPLITAlso like to include Alex who is a social worker that has been so wonderful.SPLITThis hospital is the worst hospital in the world the staff is so rude and not helpful in the least bit I brought my daughter to sturdy because she had a high fever and wasn't able to keep food down at all and was so tired not like her normal self we got called back into the e r and they didn't put her in a room for over an hour then the nurse took her in didn't even ask why we were here or if she was okay tried to force ibuprofen down her throat my daughter threw up on her and then she looked at me and said you are a terrible mother no three year old acts like this her behavior is completely unacceptable and also told me I wasn't doing enough for my daughter excuse me I brought her to the er as soon as she got that fever the nurse was an absolute inconsiderate jerk her bedside manner was disgusting this hospital is not for children at all I was so horrified by the way she was speaking to me I got into an argument with her because her behavior was disgusting I cannot believe she talked to my daughter the way she did and the way she spoke to me absolute ignorance!SPLITI've had multiple horrible experiences here with rude staff, lack of knowledge, no communication between anyone, rude, ignore you, and lack of professionalism.SPLITAs Shea snooped outside my door.I also asked her for the head nurse on the floor over and over again as she ignored me with disrespect and very very poor care.I did not bother any of them all night because from the beginning of Kens shift he was rude arrogant and totally unprofessional as a nurse.SPLIT1304",144,0,0,0,0,29.75,2.806451612903226
Baystate Wing Hospital And Medical Centers,https://www.yelp.com/biz/baystate-wing-hospital-palmer,MA,40 Wright Street,50,36,68,17,59,28,76,18,75,18,57,18,"The rooms are nice though and a lot more peaceful than others I've seen.SPLITShe had hit her head so we wanted to be safe and seek medical help.SPLITWow there services are so much faster now than a few years ago.SPLITThe negative side was the observation that the ER seemed very dirty.SPLITI know it is a small hospital, but in emergency situations, there is really no where else to go.SPLITthis hospital is pathetic; both their ER....where there is no such thing as triage....& their inpatient units.SPLIT115",20,0,0,0,0,29.268292682926827,2.0
Boston Medical Center Corporation-,https://www.yelp.com/biz/boston-medical-center-boston-3,MA,1 Boston Medical Center Place,50,32,65,23,57,28,80,15,77,18,61,19,,1,0,0,0,0,0.0,2.1171171171171173
Beverly Hospital Corporation,https://www.yelp.com/biz/beverly-hospital-beverly,MA,85 Herrick Street,47,37,71,22,64,27,79,16,81,16,63,18,"I guarantee they wouldn't have done this if it was an American family but bc my grandma, aunt and great grandma don't understand they probably thought that it was ok.SPLITRecovering well a week later thanks to a young and talented doctor.SPLITAnd while inputting a catheter made a very inappropriate joke towards each other about my great grandma.SPLITWTF, worst attitude I have seen in all medical center/ hospital.SPLITI am no allowed to leave my bed to go the bathroom what the fuck is wrong with these people.SPLITUnfriendly and extremely rude and ignorant.SPLIT217",27,0,0,0,0,28.749999999999996,2.2888888888888888
North Shore Medical Center -,https://www.yelp.com/biz/north-shore-medical-center-salem-5,MA,81 Highland Avenue,48,32,71,20,63,26,77,16,77,17,61,19,"No wonder their hospital is going down, its pretty much empty in there, seems like no one likes going there anymore, as all of my friends and relatives has transfered all their cares to better hospitals.SPLITI don't work there but feel like I do because I have to go behind the staff to make sure they do their job so I can get medical help.SPLITFront end people are super important for inspiring trust unless you really dont careSPLITMy 53 year old brother died unexpectedly in December due to a fall and we are having the hardest time getting the Head of the Emergency Room to respond to our many request to change the Death Certificate.SPLITI won't say the name of the doctor, but very unprofessional and is obvious that she didn't give a crap I was in pain.SPLITMy mom was brought to the emergency room with a broken arm and I have never been more pleased with a hospital.SPLIT402",43,0,0,0,0,27.27272727272727,2.0222222222222217
St Elizabeth's Medical Center,https://www.yelp.com/biz/st-elizabeths-medical-center-boston,MA,736 Cambridge Street,45,33,63,24,59,26,80,15,77,18,63,17,"I'm very thankful I was so well taken care of at AJH that night by the doctor at least.SPLITMaybe it was just a slower night at the ER, but he got patched up perfectly and we still went to bed at a normal hour.SPLITBy the second week, I felt pretty darn good.SPLITMy husband had a bad fall and was in a lot of pain.SPLITMy 9 year son fell on roller skates and had a bad broken wrist.SPLITPersonally would not want my loved ones to come to emergency here.SPLIT286",33,0,0,0,0,17.647058823529413,2.6692913385826773
Berkshire Medical Center - 1,https://www.yelp.com/biz/berkshire-medical-center-pittsfield,MA,725 North Street,41,37,67,24,62,27,80,15,82,14,63,19,"After 2:00 PM surgery started and by after 6:00 PM she was done and she called me with so much joy and energy in her voice that it felt like she gained 50 years extra of lifetime.SPLITSave yourself and either treat yourself at another hopsital, never have an ambulance bring you here, or treat yourself in your home!!SPLITThey are just grate BUT specially my Nurse ERIN (Day Shift) she is a special one, you know one that loves her job and cares for sick people.SPLITNot only did she lack compassion but boy....was she rude rude rude
Not only was she rude and bitchy...she obviously doesn't care about patient safety.SPLITUNJUST !AND  DOWNRIGHT CRUEL  that the   sick people in the world take a back seat  to the drug addicts.SPLITHowever, if you are in a major car accident or are shot or stabbed or suffer some other sort of major trauma, BMC is the place to go.SPLIT1576",168,0,0,0,0,23.66412213740458,2.35
Marlborough Hospital,https://www.yelp.com/biz/umass-memorial-marlborough-hospital-marlborough,MA,157 Union Street,42,37,68,22,63,25,79,15,75,19,60,19,"I plan to make an appointment with my PCP tomorrow to make sure I don't need antibiotics and make sure my tetanus shots are up to date but they sure made me feel better in the meantime.SPLITI only needed a small stitch to stop the bleeding so they were kind enough to help me and even took time to tell me how to care for the wound after leaving and provided me with bandages/medical supplies.SPLITIt's called ""A-OK.""  I'm doing that, in part of the lovely nurse(s) who took their time out to give me their honest response.SPLITWait times are horrible, staff is rude, and the place to state simply, is a dump.SPLITThe waiting area was pretty noisy but what do you expect with a bunch of sick kids and tired parents.SPLITThe medical staff are rude, incompetent and have very condescending attitudes as if they really don't like their jobs at all.SPLIT448",45,0,0,0,0,27.819548872180448,2.4
Signature Healthcare Brockton Hospital,https://www.yelp.com/biz/signature-brockton-hospital-brockton,MA,680 Center Street,45,36,72,20,68,24,79,17,81,15,66,15,"Treat people with respect.SPLITBeth Israel did handle a loved one's illness with a lot of compassion.SPLITJust trust me here.SPLITIt's really for the facility I am at one point the elevators in the patient parking garage were broken for three months I actually called it in because I had a knee issue and I am had to climb flights of stairs with a knee brace and  for patients that are in much more pain than I was this is really unacceptable for patients and even though this was reported a couple of times it was only fixed recently after months and I'm a little wary of trying those elevators now.SPLITBack to St e's: I needed to pre-register for an appointment by phone I called and was on hold for 20 minutes then I did the call back option no one called me back--then later today, I called again and was transferred to the wrong place five times!SPLITI don't trust many people when it comes to my healthcare, but they have given me every reason to trust them.SPLIT112",9,0,0,0,0,25.0,2.1904761904761907
Beth Israel Deaconess Hospital - Plymouth,https://www.yelp.com/biz/beth-israel-deaconess-hospital-plymouth-plymouth,MA,275 Sandwich Street,46,38,69,21,65,26,81,15,80,17,62,19,"Steward Medical is not good Caritas was much better seems like the employees do not care the nurses are great but ADMINISTRATION is horrible very horrible 
the cafeteria does not offer anything GLUTEN FREE and if you ask any of the help they look at you like you have two heads 
They do not speak ENGLISH so they do not know the meaning of GLUTEN FREE nor does the Dietary departmentSPLITI know the ER has different priorities from primary care doctors, but on a slow night I could have been given better care and concern.SPLITAfter Sheila called me back with the initial diagnosis of the doctor (that my friend didnt need to be admitted) I reiterated the facts and importance of my friend being admitted.SPLITI was in the worse pain worse than the cancer I was treated for.SPLITThey have the worst ER, the nurses are rude, the staff is rude and the place is dirty.SPLITThey are lazy lazy lazy...rude rude rude.SPLIT1167",111,0,0,0,0,28.60520094562648,2.232558139534884
Lowell General Hospital,https://www.yelp.com/biz/lowell-general-hospital-lowell-2,MA,295 Varnum Avenue,53,33,73,19,67,25,78,17,80,16,63,18,"But first there are two good things such as:
-The healthcare staff are extremely friendly and serve with smile.SPLITI was under the impression that there was actually going to be a bit of therapy to help me move better.SPLITHonestly, we should have gone to the walk-in and would have had much better service than the nurse who calls my mom honey.SPLITGot rushed up here the nurse I have is rude and mean never come up here unless I have no choice the doctors in the ER suck full hospital sucks always slow even when its not busy definitely needs a staff change up these people hate their jobs you can tell no bed side manner at all this place has always sucked definitely feel like its gotten worse I wouldn't send my worse enemy up here  took them 20 mins to get me on a neb and I'm an asthmatic don't come here unless you have no choiceSPLITIs it possible I overreacted a little, I don't know, maybe, but I would argue that the staff should also know how to deal with folks who are hurt and feeling exposed and helpless, and, I don't know, maybe treat them more like fellow humans instead of troublesome chores.SPLITI was very disappointed in the emergency room today the secretaries were rude noxious not helpful I've known this hospital for a very long time and this is the first time I've been hearing that has been so horrible I think I will not be recommending this place anymoreSPLIT550",50,0,0,0,0,23.863636363636363,1.9402985074626864
Baystate Noble Hospital,https://www.yelp.com/biz/noble-hospital-westfield,MA,115 West Silver Street,53,35,74,17,75,20,75,21,83,15,66,18,"Be someone that reflects and shows the goodness , compassion , caring , and real desire to help a bunch of people who really needed it !!!SPLITWe have been here twice in one week for the same condition that should tell you something right there by the way these people have no clue how to triage because they say have the clinic side and the Er side but people are All out of order because the staff keep changing at the front desk unreal don't even get me started on health care reforms I will definitely blow a gasket still waiting five hours omg went to the urgent care clinic but they sent us here omg just what a racketSPLITwe are so lucky in the near north suburban area to have terrific care and dedicated healthcare personnel nearby.......without having to spend time and $$$$ getting into and out of boston.SPLITTHIS IS COMPLETELY UNACCEPTABLE to make a patient who is battling for her life against cancer and is having excruciating pain in her kidneys sit and wait for 6 hours so far to be seen... right now I am so COMPLETELY DISGUSTED with the LACK OF QUALITY SERVICE in the Emergency department at Lowell General Hospital...SPLITThat was pretty unpleasant but the worst part of it was that they denied making any errors, the surgeon falsified his report and other documents etc.SPLITWish I could give this place no stars for a number of reasons, for one they have incompetent people working there, two place is filthy, three its ghetto, the staff are inconsiderate, my sister was there for hypertension and dizziness numbness, they drew blood that's it said theres no neurologist there, then sent her home still not feeling well when we asked for lab result papers discharge papers when I dropped my sister off they gave her a mans discharge papers that's born in 1930s no lie my sister is only 40 mind you what type of place is this, I would not go here unless you want to play around with your life Brockton hospital also killed my dad who went septic didnt treat him in timely manner and proper protocol he still be alive.SPLIT1448",176,0,0,0,0,23.00380228136882,3.0
Mercy Medical Ctr,https://www.yelp.com/biz/mercy-medical-center-springfield,MA,271 Carew Street,51,33,70,21,70,23,80,16,80,16,64,18,,2,0,0,0,0,50.0,2.0
Melrosewakefield Healthcare,https://www.yelp.com/biz/melrose-wakefield-hospital-melrose-2,MA,585 Lebanon Street,49,37,66,20,65,25,80,15,82,14,64,17,"From the minute I arrived at MGH with my friend having a medical emergency to the several hours later when we departed, we were greeted and treated respectfully by a number of clearly caring and competent individuals who seemed genuinely interested in helping - from the man who greeted us with a wheelchair as we were exiting the taxi, to the triage nurse, to even the people who pushed the gurney from room to room, and of course the intern Dr. Beryland and the attending Dr. Lawrason who delivered great care.SPLITThere are so many better choices in the area at this point, if you have a loved one, try to seek better care !SPLITThe service is bare bones and understaffed but if you or a loved one has autism the service will help you attempt to make sure that the providers facilitate your needs.SPLITOkay I'll get off my soapbox but I was highly highly disappointed and uncomfortable that the EMTs took us here after this 5 car accident and the service we got was awful.SPLITIf we had not gotten out of that hell hole, my mom would be minus a foot and continued to live one of the most miserable and pain filled weeks of her life.SPLITThey sent in a nurse to scare my mom and tell her that ""no surgeon would take her"" due to the liability of her already being so ill and that she'd have to leave the hospital AMA and check into a new hospital by sitting around hours in their ER (total lie)!SPLIT590",56,0,0,0,0,28.061224489795915,2.3972602739726026
Massachusetts General Hospital,https://www.yelp.com/biz/massachusetts-general-hospital-boston-4,MA,55 Fruit Street,52,32,70,22,67,25,83,13,84,13,66,17,"Some days you just don't want to eat but other days you do, and having this free snack available is great for those days when you do want something and is very much appreciated by the family.SPLITI am so thankful for people like this...spending their time helping others to the best of their ability.SPLITThe waiting room I was in was comfortable and clean and had decent free wifi - a big plus, just wish they could change the TVs from being locked on CNN, at least allow administrative folks to change the channel.SPLITAbove all, I am sad and frustrated that i am injured and will be incapacitated for 8 weeks.SPLITTo this day I suffer from abuse trauma from this event, and from the events that followed from those around me who attempted to discredit me and silence me.SPLITfire his ass, his bad attitude and the rest of him.SPLIT1659",153,0,0,0,0,30.443548387096776,3.232558139534884
Morton Hospital,https://www.yelp.com/biz/morton-hospital-taunton,MA,88 Washington Street,43,35,68,22,56,31,75,18,76,18,56,21,,3,0,0,0,0,25.0,2.5357142857142856
Southcoast Hospital Group,https://www.yelp.com/biz/southcoast-hospitals-group-fall-river,MA,363 Highland Avenue,52,31,71,20,69,20,79,15,80,15,65,18,"the reception ladies are sweet, give you pillows because you look uncomfortable, call you by name, and can give you up to the minute info on your loved one
- the coffee (coffee central) is SO GOOD and SO CHEAP
- great gift shop!SPLITAsk for a manager's name or something and trust me, MGH will take care of it....They don't like a bad name and really thrive on patient experiences...  All of the doctors, nurses, and staff that I've ever come into contact with have been genuinley nice to me, and they are so willing to help!SPLITHowever, a friend of mine was in a pretty serious accident recently and was transported to MGH to have their injuries treated, and as far as I have been able to see, their trauma ward has been fantastic in terms of the quality of care my friend has received.SPLITI swear its the weirdest thing, I just got the feeling that I could just drop dead at any min..............................SPLITTo sum up - aside from the awful ER experience and the horrendous specialist that was too busy doing nothing to see me, MGH is doing something right.SPLITThis is my go to spot when I need my 'entrance papers,' (they are and should be a requirement for scrupulous partners), the first couple times I stopped in here I was terribly anxious, in an obvious and visible way.SPLIT404",46,0,0,0,0,33.02752293577982,1.0
Massachusetts Eye And Ear Infirmary -,https://www.yelp.com/biz/massachusetts-eye-and-ear-boston-2,MA,243 Charles Street,46,41,73,18,68,23,81,16,82,14,68,16,"If you have children please please  please do not bring them here !SPLITWhen people need help, you should have people that can actually help.SPLITHave had test done here at various times for various things and every time the staff is great!SPLITTerrible hospital, dirty atmosphere, lazy workers, hope I never need to brought here again.SPLITWorst hospital I've ever been to.SPLITTerrible.SPLIT34",6,0,0,0,0,33.33333333333333,3.0972222222222223
Baystate Medical Center,https://www.yelp.com/biz/baystate-health-springfield,MA,759 Chestnut Street,51,34,74,18,58,30,76,18,78,18,59,20,"My mother is currently on the psych unit and I was appalled when I went to see how they run their operation... they had all of the patients in the lunch room and only a few ladies taking care of them ... however, the girl taking care of my mom was doing so well with her, several min later a supervisor pulled her aside right in front of me and started jawing at her.SPLITThe best thing to do when coming here for treatment or an appointment is to Valet park right in front of Mass Eye and Ear Infirmary.SPLITHe is very through and spent a great deal of time with my sister-in-law.SPLITPoor signage and lack of directions made it difficult to find our way around, making a stressful situation even more frustrating.SPLITBad enough my baby needed stitches that was heartbreaking enough but the way the hospital and nurses handled it was absolutely ridiculous I would not send anyone to this hospital with children they were so rude and not caring to the situation did not check on us for 3 hours wouldn't offer the baby anything to make the situation a little better.SPLITLong story short, if you want to be insulted, degraded and made to feel crazy, as well as waste your time, go to this horrible hospital.SPLIT477",39,0,0,0,0,22.666666666666664,2.5
Holy Family Hospital,https://www.yelp.com/biz/holy-family-hospital-methuen-methuen,MA,70 East Street,48,36,66,21,61,26,76,18,77,17,60,19,"While some may feel like they are moved like cattle from one person and department to another, I felt to the contrary, I felt like I was treated like a human being, by caring professionals, and in a systematic - - be it robotic - - fashion.SPLITNow I have to deal with my primary care people to get these.SPLITI went from being almost blind with unbelievably strong contacts to being able to see 20/20 in one eye (and 20/15 in the other!!!)SPLIT""Medical practice""...they keep practicing until they get it right....in this case they never got it right but had no problem taking my money and wasting my time.SPLITI really hate rating emergency rooms.SPLITIf you are considering this surgeon my advice to you is look at her poor ratings and reviews and take them VERY SERIOUS!SPLIT157",13,0,0,0,0,23.809523809523807,2.1111111111111107
Beth Israel Deaconess Hospital - Needham,https://www.yelp.com/biz/beth-israel-deaconess-hospital-needham-needham-4,MA,148 Chestnut Street,49,38,72,19,59,33,82,15,80,16,62,19,"She cares about my vision which makes me take better care of my eyes.SPLITEither way, made the long wait much better, so thank you!SPLITSPLITNow I have to deal with her bitchy entourage again.SPLITFortunately, I went directly to the emergency room at Mass Eye and Ear.SPLITThey don't care about patients, they just want your money.SPLIT89",12,0,0,0,0,15.384615384615385,2.814814814814815
Emerson Hospital -,https://www.yelp.com/biz/emerson-hospital-concord,MA,133 Old Road To 9 Acre Corner,53,32,71,20,68,25,82,15,82,15,63,20,"For starters, the less than enthusiastic receptionist stared at me blankly upon giving my name, etc and literally said ""No, no, no.""SPLITOr it would be up to another hour plus to see me because the case in front of me was an interesting one.SPLITSPLITWhen I arrived at the emergency room, my eye was in severe pain and was told it would not be long till I was seen (about an hour....SPLITI was left feeling so embarrassed, I had a nasty taste from that visit ever since then.SPLITAwful experience and an awful way to start the new year.SPLIT58",2,0,0,0,0,31.818181818181817,2.5384615384615383
Beth Israel Deaconess Medical Center,https://www.yelp.com/biz/beth-israel-deaconess-medical-center-boston-14,MA,330 Brookline Avenue,48,35,67,24,58,31,80,15,81,15,64,19,"I appreciated the fast response, reassurances, the thoroughness by the assistant and the doctor plus the treatment that he gave me.SPLITI was immediately screened by a very kind ophthalmologist's assistant to see if I was in need of immediate care, reassured that no serious damage was done and that the doctor would see me shortly to give a more thorough examination and the necessary treatment.SPLITSPLITI have to add that there was a man in the waiting area that day who had acid splashed in his eyes and he was given the same treatment as me which to this day, makes me wonder if he may have permanent damage from the wait.SPLITSPLITSPLIT14",1,0,0,0,0,33.33333333333333,2.821428571428572
New England Baptist Hospital,https://www.yelp.com/biz/new-england-baptist-hospital-boston-2,MA,125 Parker Hill Avenue,56,33,81,13,75,19,85,12,87,11,74,16,"He still has a few pronounciation issues, but it is like night and day with his ability to communicate.SPLITAnd his behavior has greatly improved due to his ears not hurting ALL the time.SPLITHe had a little fussiness and bleeding from his ears for a few days after surgery, but in the 4-ish months since then everything about his life has improved.SPLITHe has not gotten an ear infection once in the last 4 months and he has been sick with a cold at least 3 times.SPLITMass Eye & Ear also do not seem to work well with their neighbor Mass Gen. At both organisations one gets the impression that each does not care much for the other and there is no referring going on as far as I gathered.SPLITSPLIT18",3,0,0,0,0,75.0,4.026315789473684
Milford Regional Medical Center,https://www.yelp.com/biz/milford-regional-medical-center-milford-2,MA,14 Prospect Street,50,36,66,23,61,29,79,17,81,15,65,20,"It is clean, I was welcomed by the front desk & registration people, and it wasn't busy at all.SPLITAs soon as I walked in I was pleasantly surprised.SPLITI am lucky to live in Boston.SPLITSPLITSPLITSPLIT19",2,0,0,0,0,50.0,2.7954545454545454
Heywood Hospital -,https://www.yelp.com/biz/heywood-hospital-gardner,MA,242 Green Street,57,33,66,21,66,25,81,14,80,16,64,18,"They cheered me up, got me laughing and helped me look like a pirate for about a day (think eyepatch).SPLITSure, I got some infections growing up, but nothing as bad as when I was a little one.SPLITLovely.SPLITI ended up at the ER here a while back with an eye problem the 2 ophthalmologists I'd previously seen were having trouble diagnosing (several different treatments, no results).SPLITIn fact, my mom and I felt so brushed off that she is canceling the eye appointment she made there out of fear for waiting just as long and having no one tell her why the wait was so long.SPLITSo...

First thing first: The parking lot and design of the entire campus is a disaster.SPLIT164",16,0,0,0,0,24.074074074074073,2.6666666666666665
Nashoba Valley Medical Center,https://www.yelp.com/biz/nashoba-valley-medical-center-ayer,MA,200 Groton Road,50,41,78,18,70,24,83,13,84,14,59,22,"I like the fact that it's in the BI system, so they can see records (with some difficulty/work-arounds) from the main BI hospital as well as outpatient clinics, labs, and urgent care centers.SPLITThere are many, many, many medical offices that get it right and treat patients with respect and courtesy, and who don't overbook appointments.SPLITWell, of course you have the right to good, quality care.SPLITShe gave me this awful look and rudely said,""you're talking fine right now, it's not like you're mute"" and refused to listen to my husband.SPLITMuch confusion and long hold times while they tried to find another appointment time for me (and confused me with another patient who had an emergency eye injury -- yikes!)SPLITthe ED nurse or whoever was HORRIBLE and so unbelievably rude i can't believe she even has a job.SPLIT823",83,0,0,0,0,25.482625482625483,1.7777777777777777
South Shore Hospital,https://www.yelp.com/biz/south-shore-hospital-south-weymouth,MA,55 Fogg Road,52,34,72,19,67,23,81,15,83,13,68,16,"If you don't want to deal with a huge hospital but still want the same caliber of care, I recommend Beth Israel Deaconess Medical Center.SPLITWow, I've never experienced ruder nurses in my life.SPLITBut after six hours and several tests, I was home and feeling better, and have felt better since.SPLITI've given them a low rating as well, in the fear that that same lack of concern for detail may lead to serious medical errors, such as dispensing the wrong drugs to a patient.SPLITHospital staff is completely incompetent, service is terrible and to get anyone to respond is a waste of time.SPLITMy father was in a car accident where Emerson missed a broken back and concussion - again, fortunately, caught days later by another hospital.SPLIT219",25,0,0,0,0,23.61111111111111,2.544642857142857
Newton-Wellesley Hospital,https://www.yelp.com/biz/newton-wellesley-hospital-newton,MA,2014 Washington Street,50,36,74,21,64,27,83,14,83,14,69,19,"I had to wait for my labs to be returned for about an hour, but to be fair, it was a Sunday and the ER beds seemed pretty full!SPLITI have spent a good amount of time with geriatric parents in hospital care and you couldn't get me to anywhere near Mass general, that filthy mess of a hospital.SPLITIf you are unconscious or barely breathing this place is a good option, otherwise drive into Boston for emergency medical care.SPLITI recently went into emergency for a non life threatening issue and was seen promptly.SPLITFirst thing I will say,  all hospitals seem to get a lot of bad yelp reviews as you might expect.SPLITThe place was dirty and there were homeless people in the waiting room.SPLIT47",4,0,0,0,0,52.94117647058824,2.8828125
Winchester Hospital,https://www.yelp.com/biz/winchester-hospital-winchester,MA,41 Highland Avenue,49,35,75,19,70,22,82,14,83,14,67,17,"It's like a joke that they are as busy as they are.SPLITSPLITSPLITI had to waddle around the DR hospital with my gut wide open, being repacked daily, since the infection was so bad.SPLITI almost died.SPLITBleeding for 5hrs in the waiting room is unacceptable.SPLIT38",3,0,0,0,0,22.22222222222222,2.6973684210526314
