Sentence,Sentiment,Topic,Topic Score
I went up to the cafeteria and witnessed the most awful thing.,-0.5095,4,0.6515063643455505
"At each step, a nurse or tech pointed out their frustration with these things.",-0.4767,4,0.6622765064239502
"When I called originally, the woman taking the order didn't speak English; it took me 5 minutes to order 2 salads...7 repeats and wrong orders read back to me.",-0.4767,4,0.7432164549827576
Sad to see this.,-0.4767,4,0.680410623550415
"This hospital , I believe is privately owned  well the owners need to know how much of a shitty hospital they own!!..",-0.4738,4,0.7499117851257324
Drs r rude and spend majority of time sitting around reception area gabbing with nurses and not looking at all busy.,-0.4588,4,0.7058134078979492
"The emergency room has serious deficiencies, especially for babies and children.",-0.4404,4,0.7038443088531494
Their just a burden to society anyways.,-0.4404,4,0.7038038372993469
"I personally work at a hospital as well, and i would NEVER speak to a patient/anyone that way that woman spoke to me it was absolutely horrifying.",-0.4391,4,0.7542819976806641
I've been to many Emergency Rooms and this is the first time I've been met by such indifference.,-0.4215,4,0.6971338987350464
Ugh.,-0.4215,4,0.6529194116592407
"Horrible wait times, and friends have told me they feel unsafe because of the desperate detoxing people in the waiting room.",-0.4019,4,0.7597942352294922
"There is no reason to treat patients and their families rudely, and if this is how they were with 3 patients in the whole ER I can't imagine how they would be at busy times.",-0.4019,4,0.7708293795585632
Once I finally got in the room the nurse was a jerk !,-0.4003,4,0.7038552165031433
Two elderly patients who were not together was in the emergency waiting room before me and I got called before them.,-0.3818,4,0.7297381162643433
This action was uncomfortable and belittling.,-0.3818,4,0.6698622107505798
I should also mention as I was in the waiting room he was chatting w/ the triage nurse who was doing competencies so I did not get a sense that the Emergency Room was hopping (there were 2 people in the waiting area).,-0.3818,4,0.7774918079376221
Let's start at the emergency reception desk where you'll get to meet the woman from Beatlejuice that asks you so many of the same questions over and over.,-0.3818,4,0.7244999408721924
He called into the Emergency Room and I was told my family member was with a nurse and to sit in the waiting area.,-0.3818,4,0.7719072699546814
It was ridiculous.,-0.3612,4,0.6529284715652466
"Again, the wait was ridiculous.",-0.3612,4,0.6803686618804932
It was just plain ridiculous.,-0.3612,4,0.6529284715652466
Avoid Mount Auburn Hospital if you can!,-0.3595,4,0.6529284119606018
My 90 year old mother went there for a stress test and needed to be admitted.,-0.34,4,0.7610324621200562
"This decision was made by the Tracy the nursing supervisor, who is no where around to discuss the move and I can't seem to get her last name to post here.",-0.296,4,0.6677296757698059
She refused.,-0.296,4,0.6527693867683411
Stop asking questions about patients you would not ask if they were white.,-0.296,4,0.6566177010536194
Big glass window no privacy everyone in line gawking at you while you  explain why you came to ER.,-0.296,4,0.671064555644989
How can a hospital give medicine to a person who's no coherent and not put anything about that on the discharge paperwork?,-0.296,4,0.6553534865379333
AVOID AT ALL COSTS.,-0.296,4,0.6529284119606018
You don't like your job?,-0.2755,4,0.6804162859916687
I had never felt anything like this before.,-0.2755,4,0.6910553574562073
On his most recent visit to ER they finally decided he was not competent to be released.,-0.2411,4,0.6764591932296753
It is so not worth your life.,-0.2369,4,0.6804150342941284
"They have fancy information counter, looks nice two terminals but no one working there.",-0.2263,4,0.7285439968109131
"She was clearly annoyed at him & after carelessly leaving the supplies on the stretcher & huffing and puffing, she said ""I'll be right back - I'll have someone else do it"" she walked away & we didn't see anyone else for another hour and a half.",-0.2263,4,0.8096484541893005
"A short (and growing) list:

Transport:  they take forever, forget to pick up patients and are on their phones the whole time

Room service:  we ordered at 3:30 and it's now almost 5.",-0.2263,4,0.6711685061454773
Add on ....I've left the ER 2 hours and 45 minutes and still not seen such a joke this place going to Clinton.,-0.2235,4,0.6557275056838989
"However, the emergency room services leave much to be desired.",-0.1779,4,0.6770250201225281
"She attempted to take his blood - though before she started, he made it very clear that a lot of people have trouble getting his veins and that he wasn't the biggest fan of needles, she poked and prodded not once, not twice, not even three but FOUR different times!",-0.1721,4,0.7435624599456787
And always seem to disappear when you finally get fed up And have enough and want to go home.,-0.1531,4,0.6596814393997192
"When they finally did see me, the ""Doctor"" told me over and over that there was nothing wrong with me and that this problem was ""in my head"".",-0.1459,4,0.7381464242935181
"We have had help cut so each person is doing the work of three people, because the CEO was paid 6.5 million to cut costs.",-0.128,4,0.8039443492889404
"I am not sure if the hospital actually only had the capacity to treat one patient at a time (unlikely), or what her problem was, but I then saw her smirk about it to another technician who then tried to shush her to point out that I was standing there.",-0.1232,4,0.7053748965263367
I felt like I was being crushed from the front and back.,-0.0772,4,0.655474841594696
"I couldn't stand the pain anymore, nor could I tolerate overhearing the rude comments staff made about other patients.",-0.0767,4,0.6560516953468323
I arrived at the Emergency Room and walked up to the   security officer.,-0.0516,4,0.7572563290596008
The receptionist was more interested in watching tv than attending to checking me in and kept calling me by the wrong name despite me correcting her 5 times.,-0.0276,4,0.7072396278381348
This was done by putting a salary freeze (I myself am still in the starting salary range after a decade in my profession working here) and firing all per diem (only in certain departments) .,-0.0258,4,0.7771281003952026
Not all sick people are faking & not everyone is a genius.,-0.0253,4,0.6714462041854858
Then you get back in line and register.,0.0,4,0.7070583701133728
"Almost $2,500 for them to tell me that this was all in my head.",0.0,4,0.6715186834335327
You will wait for hours.,0.0,4,0.6528719663619995
"For surgery, choose Worcester or Boston.",0.0,4,0.6803300976753235
Ad.,0.0,4,0.6529035568237305
"After being there for over an hour and a half, without seeing anyone at all, we decided to go to another hospital and left (after letting them know that is what we would be doing).",0.0,4,0.6744795441627502
FIVE parking spots in front and to the left the lot was full.,0.0,4,0.6550424098968506
Dont work in that field!!,0.0,4,0.7028090953826904
I would NEVER have any surgery at Leoninster unless I was unconscious!,0.0,4,0.6570748686790466
However if getting XRay or labwork  your ok to walk thru no search.,0.0,4,0.6777653694152832
Not to mention there was only 1 other person in the waiting room !,0.0,4,0.7241102457046509
This place is getting 1 star because I had to give at least 1.,0.0,4,0.7241123914718628
The front desk person insisted on insurance.,0.0,4,0.6777005791664124
I said that it wasn't in any way the same.,0.0,4,0.6529297232627869
After this young child was waiting for over 8 hours to be seen I said I would take him elsewhere.,0.0,4,0.6784110069274902
"Anyway, If results don't come out right away, it's because they expect us to work in an unsafe work environment doing 16 hours of work in 8 hours or less (if you include all the paperwork and the tasks needed).",0.0,4,0.6967890858650208
In a 10-day period I had 3 day surgeries.,0.0,4,0.7038672566413879
"the ones the patients don't see, but have a direct effect of their health.",0.0,4,0.6918218731880188
Hands paperwork to daughter.,0.0,4,0.667186439037323
They get 5 stars.,0.0,4,0.6529281735420227
"If you end up there, fingers crossed you don't get pigtail nurse",0.0,4,0.7166498303413391
I have very mixed feelings about this hospital.,0.0,4,0.6529214382171631
The wait to see a doctor was nearly 3 hours and after getting in I was there for another 6.,0.0,4,0.7038266062736511
I've decided to switch providers.,0.0,4,0.680333137512207
"Then daughter waits, in comes nurse after a couple of hours who states ""your
 tests are all fine.""",0.0,4,0.6937248706817627
She was taken by ambulance earlier this evening and brought to the ER.,0.0,4,0.6546674370765686
ASAP.,0.0,4,0.6529249548912048
"I get in, inform them of the tumble and the fact that I hit my head on the way down.",0.0,4,0.7097890377044678
That was 30 min ago.,0.0,4,0.6804139614105225
I am reviewing this as an employee.,0.0,4,0.6529290080070496
They called people all out of order.,0.0,4,0.7038618326187134
I'm currently in the middle of a long delivery process with my wife.,0.0,4,0.6586619019508362
The last thing a patient needs to deal with is an uncaring & unsympathetic nurse who cannot perform the simple medical obligation of reading the patient the doctors diagnosis.,0.0,4,0.7200697064399719
"When I called back, a half hour ago, the manager said the food would be ""right up.""",0.0,4,0.6853624582290649
The lab: we've been waiting on her blood work (to see if she needs a c-section) for hours.,0.0,4,0.6616823077201843
I work in Cambridge and was able to communicate with co-workers but I do not live in the area and making a long distance ( is that term still used ? ),0.0,4,0.6534824967384338
I took my son to the ER and faced this extremely long wait.,0.0,4,0.6786348819732666
How do I know what you gave me?,0.0,4,0.6529278755187988
"When daughter is waiting in waiting room for ride to come get her, she reads the paperwork: diagnosis of bronchitis.",0.0,4,0.73678058385849
"Long story short, I went in with a fracture and got out with a months-long headache.",0.0,4,0.6777689456939697
"I have mixed feelings about this hospital, hence the 3 stars.",0.0,4,0.6803948283195496
I live an hour away so having spoken to her on the phone decided to make the trip to see her.,0.0,4,0.7432457804679871
His bills have gone unpaid and his apartment is unsafe and filthy.,0.0,4,0.6554959416389465
"Once he was finally moved into a room though (at 10pm), things went a bit smoother.",0.0,4,0.7241135239601135
They reported me anyways.,0.0,4,0.6529200673103333
My father (a chronic alcoholic) keeps calling the ambulance.,0.0,4,0.6502493619918823
Then triage calls you ask same info and has you take a seat for about two hours.,0.0,4,0.6971379518508911
Then the register person tells to  have a seat for an hour.,0.0,4,0.7240272760391235
The room my Mom was in had stained ceilings.,0.0,4,0.6804163455963135
Eventually a nurse came to triage me and then sent me back to sit in the waiting room.,0.0,4,0.6871497631072998
I explained all of this to the front desk person.,0.0,4,0.724079966545105
The reason they gave?,0.0,4,0.6529294848442078
"A doctor did not speak to her for a day and a half (I was there waiting with her, so I can vouch for this) and tell her what was going on.",0.0,4,0.7417646646499634
Took 2 hours to just register.,0.0,4,0.6529190540313721
The discharge instructions were poorly written and the nurse went through them quickly.,0.0,4,0.6804018616676331
"She dismissed my Mom asking her to speak more slowly so she could understand by saying that her grandmother said the same thing and that we were there, so we could hear what she was saying.",0.0,4,0.6734692454338074
We got to the ER at 415 and waited in the waiting room until about 545-6.,0.0,4,0.655744731426239
Must be a decoration.,0.0,4,0.6799954175949097
Told they don't do that for the day surgeries.,0.0,4,0.6661250591278076
"I am currently sitting in a room on the 6th floor of Stanton
building, in my dad's room.",0.0,4,0.7164424657821655
I have not used this hospital since an incident that still rankles me years later.,0.0,4,0.6557411551475525
"It's 8:30pm and we were just told that my dad would be moved to another floor and room, after days of being in this room.",0.0,4,0.7767059206962585
Keep in mind you can be in the waiting room an entire day.,0.0,4,0.7415543794631958
"I googled this place and it only had 2.5 stars, that right there should tell you something.",0.0,4,0.7241120338439941
I walked into the ER and the woman at the reception was on the phone with her eyes closed and did not even notice me until I said excuse me multiple times.,0.0772,4,0.6580211520195007
"I had emergency surgery for a serious hand infection, this was my first time every to Mount Auburn Hospital.",0.0772,4,0.6894543766975403
I absolutely hate this hospital but my parents (who are older and have been going there for a long time) seem to have an attachment to this place which requires me to deal with them often.,0.0781,4,0.6587362885475159
My cousin was admitted recently to the ER and I arrived shortly after.,0.1027,4,0.7038291692733765
Not to mention I have used their emergency department many times (physical and mental illness) and I've only been treated with real concern and respect.,0.128,4,0.6728128790855408
"They also have no long term beds available, so it's unlikely that they will go out of their way to help.",0.128,4,0.6902552843093872
"Next, get ready to sit in a room where you will be forgotten about for at least a 1/2 day.",0.1531,4,0.7833217978477478
"Auburn were either rude or just unfriendly, but having been at MGH, the difference was stunning.",0.1655,4,0.6589164733886719
These people have no compassion.,0.2023,4,0.6678901314735413
Security apologized for his own embarrassment on the way out the door.,0.2023,4,0.6775965690612793
I'm not entirely sure why he started laughing when I gave him the last name of the patient I was coming in to see.,0.255,4,0.6750507354736328
There were other people in the hallway on stretchers and folding chairs or just standing against walls as well.,0.2732,4,0.6557602286338806
I still can't stop thinking about it!,0.2914,4,0.6804073452949524
"This place a joke, always has been and always will be.",0.296,4,0.6804152131080627
Arrival to the ER was a joke.,0.296,4,0.6804119348526001
Check in another joke.,0.296,4,0.7038672566413879
"Yeah, beat those elderly.",0.296,4,0.7038590312004089
They promise delivery in less than 45min.,0.3182,4,0.7038596868515015
They handled this situation very well.,0.3384,4,0.6804126501083374
"The security checkpoint should be in front of registration line as they direct you out of line so they can check your pocketbook,  backpack etc..for ER .",0.34,4,0.705930769443512
The nurses like gossiping and don't like to work.,0.34,4,0.6765760183334351
"Ha, right.",0.34,4,0.680390477180481
I thought paying my copayments in person would clear up the issue.,0.3818,4,0.6966221332550049
Another doctor that came in (not her designated one) told her she should definitely seek another opinion.,0.4019,4,0.6781102418899536
This hospital is a joke !!,0.4184,4,0.6529282331466675
I don't know where they find these so called doctors and nurse...but they all need to be fired and replaced by people who honor their oath to take care of all people.,0.4215,4,0.6601331233978271
"My only impression of this hospital is that the waiting room was clean albeit dated and the person who represented the hospital when I entered laughed at me, lied to me and in no way made any attempt to offer assistance.",0.4215,4,0.7136615514755249
"I was told by a nurse that this is a common practice at the hospital and she pointed out that we were lucky that the move did not take place at 2 or 4 am, which happens.",0.4215,4,0.6682175993919373
"Not the brightest or safest way to run a business, but a good way to scare away all the decent and smart employees.",0.4291,4,0.714779257774353
"Auburn to ask if I would be receiving a patient satisfaction survery, (I've received one EVERY time I've ever been to MGH).",0.4404,4,0.6849113702774048
"I think patients get fine care here.But employees who are not nurse, doctor, or CEO are treated like shit.",0.4404,4,0.7604875564575195
"This place is terrible... but, again, cool nurses.",0.4497,4,0.6557536721229553
Your director needs to train these employees in human compassion.,0.4588,4,0.6695057153701782
"Six days later, she's still waiting  on the specialist that they ""keep calling"" rather than transferring her to Worcester where they have an entire wing dedicated to her ailment.",0.4588,4,0.6797664165496826
Trust me you don't want these people around your kids.,0.4728,4,0.724109411239624
Which explains why no one cares that you are made to feel like a piece of meat to be moved along the assembly line so they can get to the next one before its time to leave.,0.4767,4,0.803912341594696
"I Once had an IV line put in and it started beeping alerting there was an issue with the flow -(I know this because I was the surgery tech for animals for 10 years and dealt with fluid machines often ) and after I called out a few times, the first person to come in was a janitorial staff, Who then had to go and find a staff member, meanwhile sitting in the room, I could hear them all talking and laughing on the other side of the wall.",0.4939,4,0.6508489847183228
"There are many other options in the area, and I would encourage anyone with a choice to explore other hospitals.",0.5106,4,0.7111717462539673
"Please 
, who ever reads this, SEEK TREATMENT OF ANY SORT ELSEWHERE FOR THIS PLACE IS THE ABSOLUTE WORST!!!!!!!",0.5374,4,0.7303138971328735
Another nurse was dismissive when it came to patients finding out their loved ones condition.,0.5994,4,0.6777759790420532
"My boyfriend called me to say that he was going to the ER at Mount Auburn straight from work a few weeks ago because he was experiencing dizzyness, sweats & feeling like he was going to pass out.",0.5994,4,0.7385901212692261
On another occasion I took my adult daughter to the Urgent Care at Mt.,0.6124,4,0.6781928539276123
"They have finally made him comfortable and he is having a few restful moments, which will undoubtedly be disrupted by the move.",0.7003,4,0.6751077771186829
"They admitted him to the hospital and were very thorough - blood work (yes, someone finally was able to get a vein) every few hours, they monitored his sugar levels, set him up with a B-Pap sleep apnea machine (he uses one at home) and did everything they could to make him comfortable and try to make his stay as easy and quick as possible.",0.765,4,0.7363356351852417
"There were a lot of people waiting for help and when i finally got a room, she was at the nurses station shooting the breeze and laughing instead of being out front helping.",0.7964,4,0.7758327722549438
"I'm sure if it was their friend, they would've wanted a nicer response.",0.8126,4,0.6807764172554016
Auburn Hospital.....you would get better care going to your child's Doc McStuffins medical mobile care van.,0.8519,4,0.6779145002365112
All in all I'm incredibly disappointed with this emergency room.,-0.7178,4,0.655686616897583
"If I were hit by a bus on the sidewalk inches from the front door of this place, I'd rather bleed to death than receive treatment here.",-0.5994,4,0.6589028835296631
"You get incompetent people, the only thing going for this hospital is outpatient specialists.. if you don't mind waiting 2 months to been evaluated.",-0.4767,4,0.6765494346618652
Terrible service from staff on the overnight shift.,-0.4767,4,0.6625271439552307
My 2 months old baby had fever and we went to this hospital to the emergency room.,-0.3818,4,0.6556744575500488
"If I am ever seriously injured again, I will insist to my dying breath that the ambulance drive straight past that hole and bring me to a real hospital.",-0.3612,4,0.6658388376235962
"And, when it came time to check out, another consultant came by our room just to see how everything was going.",0.0,4,0.7545148730278015
I went to the meeting room and I was the only one there!,0.0,4,0.6804100871086121
The reason for the 5 stars?,0.0,4,0.6529294848442078
They know they're going to get paid.,0.0,4,0.7038031816482544
Dont just yell through the door.,0.0,4,0.7038489580154419
Don't come here for the ER.,0.0,4,0.6529267430305481
I called the hospital to let them know.,0.0,4,0.7038590908050537
I repeatedly called and spoke to a human being and explained the situation.,0.0,4,0.6777154803276062
I will never come back to this hospital again.,0.0,4,0.6617244482040405
"Awful ER, barely treat patients like people.",0.1639,4,0.6776173114776611
"Don't you just hate it when people tell you what to do, particularly when it comes to birthing babies?",0.4585,4,0.6557425856590271
"Don't get me wrong, the doctor was nice enough.",0.6546,4,0.6735436320304871
The receptionist was very ugly and told her that crying would get her no where.,-0.8357,4,0.6654938459396362
"During my last visit, I ran across at least two departments where HIPPA violations were shocking.",-0.7269,4,0.6617663502693176
"I worked in ERs myself for 30 years, so know how the patient flow goes, and staff can be overworked, but this place is really poor.",-0.6798,4,0.6576170325279236
"I would deliver here again regardless (if I still lived in MA), but I'm just so annoyed that I had to write a review.",-0.6756,4,0.6958742737770081
I should have driven to St. E's because this is really bad.,-0.5849,4,0.6801717877388
I hate to be writing a less-than-spectacular review for this hospital.,-0.5719,4,0.6627431511878967
My experiences have been routinely awful.,-0.4588,4,0.6526662111282349
He argued with me for a second about what my name really was (?!),-0.4199,4,0.6804159879684448
They did nothing to help me out.,-0.3089,4,0.6779580116271973
Very inappropriate and I filed a complaint.,-0.296,4,0.6804066300392151
Does not seem like anyone gives a flying f*.,-0.2755,4,0.723097562789917
"Right, lest I forget that hospital management doesn't actually care about PEOPLE, he had to remind me that so long as they get their money, who cares what my name is?!",-0.2071,4,0.6783537268638611
and seemingly uncaring staff.,0.0,4,0.6529252529144287
I've had several occasions to be at this hospital since I moved to Watertown 3 years ago.,0.0,4,0.656544029712677
I'm about to go and find the cafeteria and get myself a bite to eat and will still probably not see a doctor.,0.0,4,0.6575671434402466
"This happened Thursday afternoon, July 30th.",0.0,4,0.6766201257705688
I'm currently looking around for another hospital.,0.0,4,0.6804162859916687
I can do stuff now that I couldn't do at all previously or since I was a kid.,0.0,4,0.6804149150848389
"No problem, thanks for helping me check one more thing off my list before I bring a new baby home.",0.0516,4,0.6991705894470215
There were no written or verbal instructions to help me out.),0.128,4,0.6803877949714661
"I didn't go by ambulance, so I was admitted through standard procedures.",0.1725,4,0.6539372801780701
"When I asked the tech about it, she said, ""Oh, yeah.",0.296,4,0.6557521224021912
"Make sure you have plenty of water afterwards.""",0.3182,4,0.7037864327430725
Dr Carlson was able to fit me into his schedule on August 3rd before my trip back to Alaska on the 10th.,0.3612,4,0.6724753379821777
Luckily then he administered the proper treatment.,0.5106,4,0.7037758827209473
"My husband who died on July 4, and I have both had difficult experiences at the Emergency Room there since the beginning of the year--three time all told.",-0.8271,4,0.8037568926811218
I suffer from PTSD from the abuse to this day.,-0.8271,4,0.6557331681251526
"I'm not quick to run over to the ER for every little thing, and sheepishly went inside, terribly embarrassed for having cut myself so badly...",-0.802,4,0.6924799084663391
"My sister recently spent 12 days hospitalized with a very complex set of medical problems including a newly diagnosed cancer, insulin-dependent diabetes, rib fractures and blood clots in her legs.",-0.7964,4,0.6699983477592468
"Basically, they got sick of dealing with a manic, non-verbal person and discharged him when he was still very sick.",-0.765,4,0.6540012955665588
I understand that your job is stressful and involves working long hours in a sad environment.,-0.7506,4,0.6971432566642761
"In the case of my husband the attention was so inappropriate that after 4 fruitless days, the social worker would not listen to my daughter and me and instead sent my husband to Neville Rehab, yet another unfortunate place, where he got worse by the day.",-0.7269,4,0.7164676785469055
"Well, 2 weeks later, my mother still feel ill and uncomfortable that she went back to the emergency room there.",-0.7096,4,0.7244157791137695
"Not one, but two horrible experiences with this Hospital.",-0.6956,4,0.6804162263870239
"Finally, I asked to leave, and the doctor in charge of my case said the following: ""I'd let you go but if I were to do so and something terrible happened to you, it would be on me.",-0.6854,4,0.7108033299446106
"Fine whatever, as long as my mother is feeling not so bad now but then to wait a whole weekend for the xray results and when you call to check up on it, you get told the Urologist that was in charge of my mother's case went on vacation and to wait until he comes back....in SEPTEMBER to determine if she should have surgery is a WTF moment.",-0.6824,4,0.7981635928153992
"Afterward, my life was hell.",-0.6808,4,0.7038367390632629
"But among other things, cancer helped me develop a long term relationship with the radiology department at Mount Auburn Hospital.",-0.6597,4,0.6674230098724365
"So I make it to Mount Auburn Hospital where the girl checking in people ignores me rocking in pain and checks in some guy who walked up 10 minutes after me ""because he's a regular"".",-0.6597,4,0.7043843865394592
"Needless to say the discharge planning was complicated and would have been quite a disaster without the extraordinary advocacy of Sally Kneen, the veteran discharge planner.",-0.659,4,0.7191280126571655
"I don't hope to be back anytime soon, but can't imagine a better ER experience.",-0.5875,4,0.6611571311950684
"Also, someone there (I don't know who) ordered an illegal search of my apartment.",-0.5574,4,0.6901888251304626
They tried to give me drugs I'd had bad reactions to in the past.,-0.5423,4,0.655748724937439
"As for me, I lived in terror till I moved out of town.",-0.5267,4,0.6548678278923035
Absolutely terrible.,-0.5256,4,0.652929425239563
"He was on the 6th floor Stanton and the staff there, without exception, was fabulous!!",-0.5204,4,0.6934400796890259
Totally unacceptable medical practices.,-0.5095,4,0.652926504611969
It is getting worse.,-0.4767,4,0.6529210209846497
"Also, 1 in 4 times they get something in your order wrong.",-0.4767,4,0.7414551377296448
I get sent to the wrong area where I wait for 45 minutes.,-0.4767,4,0.6777482032775879
"From that very moment, everything that happened was all wrong.",-0.4767,4,0.656765878200531
They had some magic gel foam which capped off my cut finger and stopped the bleeding.,-0.4588,4,0.7571099996566772
"Oh, I also have Neighborhood Health that plan is awful.",-0.4588,4,0.7226404547691345
They suck.,-0.4404,4,0.6529262065887451
Don't trust them.,-0.4023,4,0.6529247760772705
"After cutting the tip of my finger off with a vegetable slicer and not being able to get the bleeding to stop at home, I decided to take a trip over to MAH.",-0.4019,4,0.7437862753868103
They totally messed with his meds and couldn't tell me why.,-0.4005,4,0.6529256701469421
Emergency staff misdiagnosed my daughter's condition.,-0.3818,4,0.6535105109214783
Needless to say we immediately switch to Newton Wellesley and the doctor there was shock at what happened.,-0.3818,4,0.6774342656135559
"-
BE AWARE -    -    -    -
I had no Idea they would charge me in the first place and here I am having to pay over $500.",-0.3818,4,0.6958276033401489
This review is for my experience in the emergency room only.,-0.3818,4,0.6726130247116089
No half-assing!,-0.3595,4,0.6529293060302734
"His death was not in any way anticipated when he went to the ER in mid-April due to a fall, but from that time on he deteriorated rapidly.",-0.3506,4,0.6809134483337402
Not good in this world that is going green.,-0.3412,4,0.6540900468826294
Jerk.,-0.34,4,0.6529140472412109
"I was in a really bad shape, but so were about 80 other people.",-0.3392,4,0.7038647532463074
I would actually give this place O stars if I could... jerks!,-0.3382,4,0.7241128087043762
I was shocked.,-0.3182,4,0.6529099941253662
They refused to believe me.,-0.296,4,0.6802677512168884
"Because of the poorly run ER once you're sent to the floor, if you are, they probably won't get a clear picture of the patients health.",-0.2924,4,0.7093887329101562
I called him twice and nobody returned my calls so I called back and cancelled the surgery.,-0.25,4,0.747850775718689
"My first physical therapy experience there worked out fine and the foot problems I was having never returned, probably this was around 1991.",-0.2263,4,0.6527233719825745
"Another time I had cardiac symptoms and as I was wheeled in, the nurse said, ""Oh, anxiety,"" and they wheeled me into a dark, empty psych room.",-0.2023,4,0.6759709715843201
This type of care is just so wrong.,-0.2002,4,0.6665217876434326
"My dad doesn't have health insurance, we wouldn't have came in if we didn't think it was a serious issue.",-0.0772,4,0.6761537790298462
"If you can't tell your left from your right, there are some serious issues going on.",-0.0772,4,0.6557429432868958
"The nurses would come in, ask a question, then leave when I was still mid-sentence.",-0.0516,4,0.7296609878540039
"Okay....

Inpatient: I was sent there mid-August, via ambulance.",0.0,4,0.6520013809204102
We patients had to live with it 24/7.,0.0,4,0.6529266834259033
After 4 hours in ER I got moved to a room upstairs.,0.0,4,0.7038634419441223
"They told me they would check in with me from time to time (in 15 minute intervals) and were back in my room, on time to the minute.",0.0,4,0.7926365733146667
I'm writing this review after sitting in my ER bed for 4 hours without any treatment.,0.0,4,0.6842134594917297
I marveled at how they handled such a volume of people.,0.0,4,0.6804085969924927
"I could also hear them chatting outside my room as it was right across from their station, and when they said they'd ask the doc something, they actually would, right away.",0.0,4,0.7955787777900696
I then knew these personnel thought of me as subhuman.,0.0,4,0.723982036113739
I don't know who did the search.,0.0,4,0.6804029941558838
This was in part due to a name mixup.,0.0,4,0.6522744297981262
Do you understand?,0.0,4,0.6529272794723511
Guess what?,0.0,4,0.6529287099838257
I knew I wasn't.,0.0,4,0.6529258489608765
I think your hospital experience has a lot to do with your attitude.,0.0,4,0.6934521794319153
I was back at work in a week.,0.0,4,0.6821956038475037
I used Mount Auburn Hospital in Cambridge many times from the late 1980's till 2013.,0.0,4,0.6772862076759338
