Hospital Name,Link,Summary,Overall Experience,Timeliness,Cleanliness,Friendliness,Spaciousness,Average Rating,Quietness,Cleanliness2,Helpfulness,Communication
Boston Medical Center Corporation-,https://www.yelp.com/biz/boston-medical-center-boston-3,"The follow-up care at the clinic was great and I have had a great recovery as I was assured I would My leg is like it had never been injured.SPLITThe Staff and Doctors were the best of the best and so attentive to her medical needs, I was so happy to see her getting the right care with the right hospital.SPLITAnyway I live in California now, and coming up with another job opportunity to work as a medical assistant I of course needed my records (immunizations) specifically, the first day I called the first guy that picked up was super nice even wished me good luck and hoped I get the job before he transferred me to medical records.SPLITBMC is understaffed and failed to recognize a life threatening injury which resulted in a death!!SPLITUNJUST !AND  DOWNRIGHT CRUEL  that the   sick people in the world take a back seat  to the drug addicts.SPLITThe employees are the worst kind of people you encounter in life, STUBBORN AND STUPID.SPLIT1056",31.926121372031666,20.0,20.454545454545453,62.5,0.0,2.1171171171171173,82,88,85,90.0
Beverly Hospital Corporation,https://www.yelp.com/biz/beverly-hospital-beverly,"They were so kind, and I LOVED that I had a dedicated nurse all to myself.SPLITFrom the nurse who checked me in for surgery to the girl who wheeled me out to my car 3 days later, every person I met during my stay was friendly, courteous, and helpful.SPLITAll of the nurses gave us a ton of great advice, and the classes were wonderful, too.SPLITI brought my youngest daughter (who was 3 & 1/2 at the time) in to be seen b/c I was concerned about pain that she was feeling on her side & ended up being accused of child abuse!SPLITThen, after my brother came out of the delivery room to get us and bring us into the room the nurses stopped ALL of us as if we we're fucking terrorists trying to steal the baby.SPLITThey have treated me with disrespect and disdain and total lack of empathy!!!SPLIT425",30.536912751677853,14.814814814814813,16.666666666666664,50.0,0.0,2.2888888888888888,84,93,91,91.0
North Shore Medical Center -,https://www.yelp.com/biz/north-shore-medical-center-salem-5,"The techs, cleaning personnel and transport techs were so friendly and encouraging it made my whole experience calm and reassuring.SPLITAs both a patient and employee I say go over the bridge to Beverly Hospital where the standard of care is higher and the corporation running the show cares more about the patient and a positive outcome.SPLITPros: they took good care of my father when he was brought in via emergency vehicle and saved his life and for that we are quite grateful.SPLITThe nurses seem to show a lack of compassion towards people in pain, it feels understaffed, feels as if most nurses were rude and incompetent, in short; there was a feeling of being ignored, for instance a conversation with a nurse played off that they'll run tests (wait over 7 hours) to identify your problem (which they don't tell) then come back and say ""here's a prescription of pain killers..bye bye... No I will not help wheelchair your friend out, do it yourself.""SPLITSo for hours I was in excruciating pain, and unable to stop hyperventilating from the stabbing pains.SPLITThere was no need to starve me for 48 hours unless you're worried about a freak setback and lawsuit.SPLIT438",33.86075949367089,28.57142857142857,37.5,50.0,0.0,2.0222222222222217,80,91,89,89.0
St Elizabeth's Medical Center,https://www.yelp.com/biz/st-elizabeths-medical-center-boston,"I love Saint Elizabeth Hospital best place to work everI have the most amazing boss and coworkers  the hospital is just outstanding.SPLITSure, sometime things may take a while, but they're honestly trying the best they can, and treat you respectfully and seriously.SPLITMy husband was fortunate enough to have a wonderful outcome and the best day I will ever remember is when  they brought him out of his ""induced coma"" state and he awoke with the full team of physicians, fellows, residents, and nurses surrounding his bed cheering.SPLITI was in the worse pain worse than the cancer I was treated for.SPLITThey have the worst ER, the nurses are rude, the staff is rude and the place is dirty.SPLITSo, after being sick for most of the week and developing terrible chest pains (so bad that I could barely talk) Joe and I thought I should go to the hospital.SPLIT1339",35.48057259713702,21.794871794871803,17.073170731707318,90.9090909090909,0.0,2.6692913385826773,78,87,85,90.0
Berkshire Medical Center - 1,https://www.yelp.com/biz/berkshire-medical-center-pittsfield,"Which brings us back to BHS maximizing profit by choosing not to hire or pay the best and brightest.SPLITI've been to the BMC ER a few times over the years, most recently last night, and have always received excellent, prompt, and courteous care.SPLITIf you have no choice like I had, hope for the best and stay on top of everything.SPLITAnd when I was finally discharged, after hours and hours of lying around and being ignored, the doctor gave me some painkillers, but underestimated the extent of damage my tailbone sustained, because it still hurts to this day and he said it would heal soon.SPLITNo equipment available, no specialist available (or willing to come in), angry nurses, gross food, dirty floors.SPLITHe was again offered pain pills, handed literature on early stages of appendicitis, and told to come back if the pain continued or worsened.SPLIT195",35.555555555555564,0.0,16.666666666666664,100.0,0.0,2.35,78,91,89,91.0
Marlborough Hospital,https://www.yelp.com/biz/umass-memorial-marlborough-hospital-marlborough,"However my overall visit post-waiting room, was pleasant the doctors were very friendly and whoever gave me the cat scan was very friendly and kept me cracking up which was good after all the agony and annoying occurrences that kept surrounding me...

(I'm putting yes for ""appointment only"" because you might as well call ahead and make an appointment so you don't have to wait for as long as I did)SPLITI want them to feel safe when I am not feeling safe or confident that my family member will receive the care they deserve.SPLITWhile I was waiting, a very kind older gentleman, who is a volunteer to help make patients comfortable, brought me a magazine to read and asked how I was feeling.SPLITGot rushed up here the nurse I have is rude and mean never come up here unless I have no choice the doctors in the ER suck full hospital sucks always slow even when its not busy definitely needs a staff change up these people hate their jobs you can tell no bed side manner at all this place has always sucked definitely feel like its gotten worse I wouldn't send my worse enemy up here  took them 20 mins to get me on a neb and I'm an asthmatic don't come here unless you have no choiceSPLITIs it possible I overreacted a little, I don't know, maybe, but I would argue that the staff should also know how to deal with folks who are hurt and feeling exposed and helpless, and, I don't know, maybe treat them more like fellow humans instead of troublesome chores.SPLITI was very disappointed in the emergency room today the secretaries were rude noxious not helpful I've known this hospital for a very long time and this is the first time I've been hearing that has been so horrible I think I will not be recommending this place anymoreSPLIT340",38.03921568627451,36.84210526315789,25.0,100.0,0.0,2.4,79,90,88,89.0
Signature Healthcare Brockton Hospital,https://www.yelp.com/biz/signature-brockton-hospital-brockton,"I've been so happy to hear so many others happy as well.SPLITA hospital isnt exactly a place you look up reviews for before you go however if youre loved one happens to be here its not a bad place to be despite the horrific scene that is Brockton, MA 

Working in the field I travel a lot and get to see every hospital Mass and get a glimpse of their latest offerings, programs and initiatives.SPLITFinally, it does and your best answer to my request was, ""this machine doesn't have the capabilities"" and ""the 2d is a dang good photo of him""?!SPLITWish I could give this place no stars for a number of reasons, for one they have incompetent people working there, two place is filthy, three its ghetto, the staff are inconsiderate, my sister was there for hypertension and dizziness numbness, they drew blood that's it said theres no neurologist there, then sent her home still not feeling well when we asked for lab result papers discharge papers when I dropped my sister off they gave her a mans discharge papers that's born in 1930s no lie my sister is only 40 mind you what type of place is this, I would not go here unless you want to play around with your life Brockton hospital also killed my dad who went septic didnt treat him in timely manner and proper protocol he still be alive.SPLITThe worst experience at the Brockton Hospital Emergency Room very early this morning; The  most rude Doctor and Nurse (both female) were sent in to see me.SPLITAfter a few days in critical she was moved to a regular floor, I called the next morning and she was in agony saying she could not breath, I immediately called the nurse and was told they have paged the doctor  meanwhile my Mom is gasping for air and in agony and nothing is being done, needless to say I was not happy and told the nurse to page the doctor again and have the doctor call me after they had seen my mother.SPLIT186",25.0,25.0,40.0,100.0,0.0,2.1904761904761907,81,92,92,91.0
Beth Israel Deaconess Hospital - Plymouth,https://www.yelp.com/biz/beth-israel-deaconess-hospital-plymouth-plymouth,"It was well worth the drive off Cape to feel I was in the best hands and a huge thanks to all the wonderful people at Beth Israel Deaconess, Plymouth, MA.SPLITWe have been here twice in one week for the same condition that should tell you something right there by the way these people have no clue how to triage because they say have the clinic side and the Er side but people are All out of order because the staff keep changing at the front desk unreal don't even get me started on health care reforms I will definitely blow a gasket still waiting five hours omg went to the urgent care clinic but they sent us here omg just what a racketSPLITHad a great outcome thanks to the pre, intra, and post op staff, with special thanks to Dr. Delia and Ruth Ann RN!SPLITMy daughter screaming so bad she was making herself choke for 2 1/2 hours.SPLITI wouldn't crawl into this disaster of a hospital if I was on my death bed and I lived across the street.SPLITThis place is horrendous I sat in the waiting room for two and a half hours provided pictures of my stool which was filled with over a pint of blood they had said it was blood then I use the bathroom again there with the same problems they still didn't see me they wanted me to sit there and wait still wind up going to another hospital thanks for nothing if I dye someone's going to sue the hell out of you.SPLIT311",37.21973094170404,27.27272727272727,15.0,100.0,100.0,2.2325581395348846,84,90,91,91.33333333333333
Lowell General Hospital,https://www.yelp.com/biz/lowell-general-hospital-lowell-2,"I've even had doctors call me at home  after hours to find out how you are  doing that is very unusual they definitely go the extra mile make sure you're getting the best medical coverage you can have why go to Boston when you can get the best coverage in Lowell.SPLITThe nurses and Doctors took care of your needs what can we do to make you comfortable I've had major surgery at Lowell General a great experience.SPLITPlease review my yelp on Southern NH medical center to help clear things up.SPLITTHIS IS COMPLETELY UNACCEPTABLE to make a patient who is battling for her life against cancer and is having excruciating pain in her kidneys sit and wait for 6 hours so far to be seen... right now I am so COMPLETELY DISGUSTED with the LACK OF QUALITY SERVICE in the Emergency department at Lowell General Hospital...SPLITThat was pretty unpleasant but the worst part of it was that they denied making any errors, the surgeon falsified his report and other documents etc.SPLITI said no, they should've so I wouldn't have been so scared of my temp rising while waiting to be seen and harming or losing my baby over it.SPLIT593",26.914153132250576,5.5555555555555545,25.0,100.0,0.0,1.9402985074626864,86,92,92,90.66666666666667
Mercy Medical Ctr,https://www.yelp.com/biz/mercy-medical-center-springfield,"The medical care I received before giving birth was, I would say standard their staff was friendly and cheerful.SPLITThe tangerines were juicy and satisfying, despite my acute suspicion of them coming from a prepackaged location rather than fresh.SPLITHowever, bias may play a role here, as I love tangerines.SPLITOnce they started my contractions again all hell broke loose n had to get an emergency c section.SPLITMuch to my disappointment, no cheese, lettuce, tomato or any other fixtures were even options, making the Hellman's mayonnaise a necessity, rather than an option.SPLITThe surgeon never called me back to tell me if everything went well or not and then the hospital wanted to discharge my mother in severe pain the very next day!SPLIT92",32.25806451612903,22.222222222222218,33.33333333333333,0.0,0.0,2.0,84,91,93,91.33333333333333
Melrosewakefield Healthcare,https://www.yelp.com/biz/melrose-wakefield-hospital-melrose-2,"Be someone that reflects and shows the goodness , compassion , caring , and real desire to help a bunch of people who really needed it !!!SPLITThere are so many better choices in the area at this point, if you have a loved one, try to seek better care !SPLITwe are so lucky in the near north suburban area to have terrific care and dedicated healthcare personnel nearby.......without having to spend time and $$$$ getting into and out of boston.SPLITWhile in horrible pain, nurses would forget about her requests, finally fulfill those request with an attitude when re-asked, never proactively check that she was receiving pain medication at appropriate intervals, and otherwise leave a horribly ill and suffering woman to rough it on her own and feel guilty for asking for any assistance.SPLITBecause of this arrogance, I was in so much excruciating pain when he was squeezing the abscess that I was screaming and crying and drenched in sweat.SPLITOkay I'll get off my soapbox but I was highly highly disappointed and uncomfortable that the EMTs took us here after this 5 car accident and the service we got was awful.SPLIT664",33.26488706365503,27.58620689655172,31.818181818181817,100.0,0.0,2.3972602739726026,86,86,90,90.66666666666667
Massachusetts General Hospital,https://www.yelp.com/biz/massachusetts-general-hospital-boston-4,"From the minute I arrived at MGH with my friend having a medical emergency to the several hours later when we departed, we were greeted and treated respectfully by a number of clearly caring and competent individuals who seemed genuinely interested in helping - from the man who greeted us with a wheelchair as we were exiting the taxi, to the triage nurse, to even the people who pushed the gurney from room to room, and of course the intern Dr. Beryland and the attending Dr. Lawrason who delivered great care.SPLITeverything was awesome EXCEPT parking

carry on the top notch medical expertise
you amaze me w your awesome bedside manner
my ex' mother was there and she was treated like a princess
thank you for your world class careSPLITthe reception ladies are sweet, give you pillows because you look uncomfortable, call you by name, and can give you up to the minute info on your loved one
- the coffee (coffee central) is SO GOOD and SO CHEAP
- great gift shop!SPLITNo one checks on you for 4 hours while you are sitting with excruciating back pain in a small area with people who have flu, complaints of 'crushing chest pain' and stroke symptoms.SPLITHorrible treatment for mentally ill. Our mentally ill & mentally retarded family member was admitted to the hospital after exploitation led to her losing housing and falling into crisis.SPLITWife had brain tumor met from breast cancer; some exc nurses, some don't care a bit about the pain or discomfort; doctors come in, do the same tests 5x in a day; lo and behold, most charged big money at that.SPLIT2236",39.35523114355231,24.8,41.17647058823529,69.23076923076923,0.0,3.2325581395348837,84,92,92,92.0
Morton Hospital,https://www.yelp.com/biz/morton-hospital-taunton,"I was able to stay with them for their entire stay at Morton., and I must say, the staff was friendly and attentive and provided excellent care to both my wife and daughter.SPLITFrom start to finish the people were pleasant and cheery.SPLITAlmost every nurse I met was kind and when put of their way to make me feel comfortable.SPLITPoor signage and lack of directions made it difficult to find our way around, making a stressful situation even more frustrating.SPLITBad enough my baby needed stitches that was heartbreaking enough but the way the hospital and nurses handled it was absolutely ridiculous I would not send anyone to this hospital with children they were so rude and not caring to the situation did not check on us for 3 hours wouldn't offer the baby anything to make the situation a little better.SPLITLast and the worst of it all was,after we found out emergency surgery was necessary,both my wife and I were very upset.SPLIT280",29.67032967032967,8.333333333333332,27.27272727272727,100.0,0.0,2.5357142857142856,78,90,87,88.0
Massachusetts Eye And Ear Infirmary -,https://www.yelp.com/biz/massachusetts-eye-and-ear-boston-2,"When u visit Dr Hartnicks office at the mass eye & ear u will need clear the whole day cause that is how long it is going to take i do not even know y u make an app cause u always end up sitting in the waiting room for 3hrs just waiting to see the doctor and and and 1hr in the exam room but i will say that Dr Hartnick is good at what he does  the nurse just sitt around and talk to each other and play on the phones with a full waiting room they act like u r not even there  the inly nice thing i will say about this office is the doctor is good at what  he doesSPLITFrom his caring and sincere bedside manner, not to mention his impressive resume, I knew instantly that I was a very lucky person to be in his care at MEE.SPLITI remember being so impressed by their passionate interest in both the problem and the solution, as well as the very healthy team culture that was evident from the reinforcing comments made by team members to one another.SPLITLong story short, if you want to be insulted, degraded and made to feel crazy, as well as waste your time, go to this horrible hospital.SPLITSleep deprived or overly tired doctors do not inspire confidence.SPLITI started walking to the ER in a panic not sure if I was going to make it or drop dead from suffocation.SPLIT862",36.098310291858674,25.0,27.777777777777782,71.42857142857143,0.0,3.0972222222222223,87,91,91,92.33333333333333
Holy Family Hospital,https://www.yelp.com/biz/holy-family-hospital-methuen-methuen,"Another wonderful nurse did her best to make sure I was safe and respected after ""Cruella"" jabbed me in the stomach with 2 needles unnecessarily.SPLITMine was good all around and wanted to share with others and present my appreciation for the staff that took care of me.SPLITEven though this hospital has some amazing personnel and doctors that work there, it seems like they run on the model of ""how can we make the most money"" and not ""how can we best serve our patients"".SPLITThe ridiculous part was that they already had my payment and the check already cleared, but they were still going to harass me because THEIR stupid accounting system didn't yet credit  my account!SPLITTheir business office will harass you and harass you, even if the bill is in error or you weren't provided a service because some staff are horrible, unethical, vicious people with out-of-control God complexes and zero compassion for patients.SPLITThey use a one size fits all pain protocol; if you are of a low pain tolerance, you will be crying in pain for at least 7 days, likely a bit longer.SPLIT534",28.346456692913385,23.07692307692308,16.666666666666664,100.0,100.0,2.1111111111111107,84,87,87,89.0
Beth Israel Deaconess Hospital - Needham,https://www.yelp.com/biz/beth-israel-deaconess-hospital-needham-needham-4,"The best part was the warm blankets they laid on top of me to help me fall back asleep and the constant cups of ice chips.SPLITLauren at the oncologist department is the most caring thoughtful considerate person.SPLITIf you don't want to deal with a huge hospital but still want the same caliber of care, I recommend Beth Israel Deaconess Medical Center.SPLITNobody has listened to me since I got here and as a result have a fever shoot up when it could have been minimized and I've suffered in pain because the meds aren't working.SPLITEven if this is true, WHO THE HELL SAYS THAT TO A GRIEVING WOMAN?SPLITWorst emergency room I've ever been to.SPLIT203",40.68965517241379,30.0,33.33333333333333,100.0,0.0,2.814814814814815,87,91,92,91.33333333333333
Emerson Hospital -,https://www.yelp.com/biz/emerson-hospital-concord,"The lady on FREE CARE from the state and bitching up a storm was given better care.SPLITMaybe we were lucky, but we took our 3 year old here with a broken arm and were treated with great compassion and care by all staff and Drs.SPLITThey are detail oriented, kind, are great at what they do and really easy to talk to!SPLITI'm honestly surprised there are such low ratings for this hospital (not to doubt patients negative experience here were real) but we had a 5 star visit when my husband had to take me late at night last week when my wrist started to hurt so bad I was crying hysterically in pain.SPLITI mean AWFUL from the 4-5 HR wait time to the flat out RUDE staff & my husband was not about to put me through more agonizing pain than I was already in so he brought me to Emerson..SPLITAt first I thought I was having an asthma attack but the pain was so severe I thought maybe a heart attack.SPLIT662",34.58498023715415,15.625,45.45454545454545,50.0,0.0,2.5384615384615383,85,91,93,92.33333333333333
Beth Israel Deaconess Medical Center,https://www.yelp.com/biz/beth-israel-deaconess-medical-center-boston-14,"I have a heart Condition and have to go for many test through the years and  and soon I will have to have a value Replacement and I find the Nurses and staff to be top notch now I was there in the hospital about 5 years ago when I had my heart attack and then the staff was only fair but in the last five years that staff has changed and they are more Friendly, Caring and Thoughtful and they go out of there way to help and I Like that  the BI has Partnered With The Lahey Clinic because it is where my Primary Dr is and I hope they merge there medical Portal computer System that would be GreatSPLITI am truly thankful for the care she received at BIDH and strongly recommend that you consdider a transfer here if have a loved one who needs medical care.SPLITI also received superb care on the postpartum floor but the very kind, caring, and helpful nurses.SPLITI always go to mt Auburn who in my opinion is the best hospital with caring nurses and doctor and staff .Bidmc was so bad I I was very scared going in there because mt auburn is where my dr are, so I got scared and raised my voice but the time I got to observation unit I was named rude the one nurse called me crazy wouldn't put other patients near me she made me cry and have panic attacks and add to my depression !SPLITA few days later it turns out that I have a relatively serious neoplastic disease that can be fatal if left untreated (mastocytosis for you nosy bastards) which causes me to go into anaphylactic shock with little or no cause, and the week that I was constantly sick I was minorly shocking, and if I hadn't pushed and pushed to see a specialist regarding my symptoms I would've been at serious risk.SPLITAfter several months of playing phone tag with various people saying they would investigate and start a case file (it is nearly impossible to reach any oversight administration), people saying they would look into how after a year I continue to get dismissed for my health, after a year of declining health and no answers, my wife having to watch her husband slowly fall apart with poor health, doctors who don't follow-up on patient care, and then to top it off, a fraudulent ""investigation"" (they never interviewed me, nor asked for my pictures, nor did a follow-up health visit with me, and they lied on their findings) into how they almost killed me with an injection administered by an incompetent nurse, lies and mistruths in their investigation findings, for the first time in my 50 years I have done something I swore I would never do, get a lawyer and begin to sue for malpractice.SPLIT1772",37.40279937791602,24.489795918367342,30.357142857142854,60.0,100.0,2.821428571428572,83,91,89,91.33333333333333
